"ORIGINAL_CRIME_TYPE_NAME","TIME","MONTH","COUNT(*)"
"Threats / Harassment","22","11",57
"Audible Alarm","20","11",233
"Fight No Weapon","20","11",204
"Noise Nuisance","20","11",156
"Petty Theft","20","11",124
"Traffic Stop","19","11",953
"Stolen Vehicle","19","11",65
"Traf Violation Cite","18","11",232
"Traf Violation Tow","09","11",63
"Drugs","09","11",66
"Stolen Vehicle","09","11",105
"Mentally Disturbed","09","11",126
"Audible Alarm","17","11",206
"Suspicious Person","13","11",736
"Traf Violation Cite","13","11",250
"Traffic Stop","13","11",854
"Well Being Check","08","11",194
"Assault / Battery","13","11",135
"Petty Theft","08","11",74
"Traf Violation Tow","08","11",57
"Stolen Vehicle","12","11",91
"Homeless Complaint","12","11",508
"Suspicious Vehicle","12","11",195
"Traf Violation Cite","07","11",216
"Auto Boost / Strip","07","11",76
"Threats / Harassment","16","11",92
"Stolen Vehicle","16","11",109
"Assault / Battery","12","11",128
"Vandalism","12","11",72
"Mentally Disturbed","06","11",48
"Auto Boost / Strip","20","11",250
"Well Being Check","05","11",88
"Threats / Harassment","15","11",104
"Suspicious Vehicle","15","11",272
"Traf Violation Cite","04","11",34
"Vandalism","03","11",26
"Veh Accident","19","11",53
"Traf Violation Tow","11","11",84
"Drugs","02","11",17
"Audible Alarm","02","11",206
"Threats / Harassment","10","11",76
"Fight No Weapon","01","11",218
"Traffic Stop","01","11",385
"Vandalism","01","11",45
"Petty Theft","18","11",151
"Auto Boost / Strip","01","11",78
"Suspicious Vehicle","00","11",269
"Trespasser","00","11",150
"Threats / Harassment","14","11",74
"Mentally Disturbed","04","11",39
"Veh Accident","15","11",72
"Veh Accident","14","11",78
"Vandalism","08","11",58
"Fight No Weapon","11","11",181
"Mentally Disturbed","03","11",39
"Burglary","00","11",31
"Noise Nuisance","13","11",56
"Auto Boost / Strip","23","11",169
"Threats / Harassment","12","11",78
"Burglary","05","11",27
"Noise Nuisance","14","11",47
"Stolen Vehicle","03","11",14
"Noise Nuisance","11","11",40
"Noise Nuisance","09","11",45
"Stolen Vehicle","01","11",21
"Traffic Stop","20","10",635
"Mentally Disturbed","19","10",154
"Suspicious Person","23","10",489
"Noise Nuisance","23","10",671
"Trespasser","23","10",177
"Well Being Check","19","10",267
"Traf Violation Cite","23","10",114
"Trespasser","22","10",199
"Homeless Complaint","22","10",209
"Fraud","22","10",11
"Mentally Disturbed","21","10",120
"Traf Violation Tow","20","10",94
"Stolen Vehicle","07","10",76
"Well Being Check","07","10",174
"Traf Violation Tow","07","10",65
"Audible Alarm","07","10",336
"Trespasser","21","10",203
"Traf Violation Cite","16","10",288
"Suspicious Person","16","10",810
"Fight No Weapon","16","10",255
"Traf Violation Tow","11","10",85
"Fight No Weapon","07","10",106
"Trespasser","15","10",220
"Audible Alarm","11","10",220
"Auto Boost / Strip","15","10",217
"Suspicious Person","14","10",770
"Noise Nuisance","06","10",76
"Trespasser","06","10",257
"Well Being Check","18","10",291
"Well Being Check","14","10",304
"Traffic Stop","05","10",201
"Mentally Disturbed","10","10",167
"Traffic Stop","04","10",193
"Traf Violation Tow","04","10",17
"Burglary","04","10",26
"Noise Nuisance","18","10",134
"Traf Violation Cite","09","10",317
"Audible Alarm","03","10",195
"Suspicious Person","03","10",185
"Noise Nuisance","02","10",364
"Fight No Weapon","09","10",193
"Traffic Stop","09","10",778
"Trespasser","09","10",265
"Traffic Stop","02","10",242
"Well Being Check","13","10",273
"Traffic Stop","01","10",392
"Traf Violation Cite","01","10",95
"Auto Boost / Strip","00","10",145
"Homeless Complaint","12","10",579
"Audible Alarm","08","10",345
"Threats / Harassment","16","10",94
"Drugs","08","10",75
"Well Being Check","08","10",197
"Noise Nuisance","17","10",87
"Drugs","14","10",110
"Burglary","23","10",36
"Drugs","09","10",80
"Vandalism","09","10",76
"Stolen Vehicle","08","10",85
"Homeless Complaint","20","10",223
"Burglary","12","10",102
"Fraud","15","10",96
"Petty Theft","04","10",19
"Fraud","18","10",60
"Vandalism","13","10",87
"Stolen Vehicle","17","10",84
"Homeless Complaint","23","10",184
"Threats / Harassment","02","10",27
"Homeless Complaint","01","10",84
"Veh Accident","06","10",15
"Noise Nuisance","01","09",374
"Fight No Weapon","01","09",185
"Traffic Stop","22","09",1332
"Traffic Stop","10","09",1025
"Trespasser","10","09",215
"Traffic Stop","00","09",786
"Homeless Complaint","00","09",130
"Suspicious Person","23","09",463
"Traf Violation Cite","21","09",143
"Auto Boost / Strip","10","09",147
"Suspicious Vehicle","15","09",235
"Traffic Stop","09","09",940
"Suspicious Person","20","09",369
"Trespasser","09","09",234
"Fight No Weapon","15","09",220
"Traf Violation Tow","19","09",98
"Trespasser","14","09",182
"Trespasser","08","09",227
"Fraud","08","09",21
"Homeless Complaint","18","09",341
"Fight No Weapon","18","09",227
"Auto Boost / Strip","18","09",200
"Veh Accident","14","09",87
"Traf Violation Tow","13","09",76
"Fight No Weapon","13","09",215
"Homeless Complaint","06","09",803
"Noise Nuisance","06","09",90
"Suspicious Person","12","09",838
"Audible Alarm","05","09",232
"Fraud","12","09",90
"Audible Alarm","04","09",216
"Suspicious Person","03","09",211
"Burglary","23","09",46
"Audible Alarm","23","09",237
"Homeless Complaint","23","09",170
"Suspicious Person","11","09",632
"Drugs","11","09",116
"Noise Nuisance","11","09",46
"Audible Alarm","11","09",257
"Suspicious Person","02","09",253
"Veh Accident","17","09",103
"Petty Theft","02","09",29
"Drugs","22","09",53
"Burglary","19","09",63
"Vandalism","00","09",56
"Assault / Battery","09","09",90
"Auto Boost / Strip","08","09",82
"Vandalism","08","09",65
"Fraud","22","09",11
"Petty Theft","07","09",47
"Traf Violation Tow","07","09",65
"Vandalism","12","09",58
"Trespasser","03","09",101
"Mentally Disturbed","20","09",133
"Vandalism","19","09",87
"Traf Violation Tow","01","09",28
"Vandalism","02","09",37
"Traf Violation Tow","00","09",55
"Burglary","12","09",83
"Threats / Harassment","17","09",93
"Stolen Vehicle","06","09",30
"Mentally Disturbed","05","09",26
"Homeless Complaint","01","09",93
"Threats / Harassment","04","09",17
"Audible Alarm","19","08",306
"Well Being Check","15","08",296
"Drugs","15","08",114
"Traf Violation Cite","09","08",267
"Fraud","15","08",107
"Audible Alarm","14","08",233
"Fight No Weapon","08","08",131
"Homeless Complaint","08","08",906
"Traf Violation Cite","18","08",274
"Fraud","18","08",70
"Petty Theft","14","08",180
"Noise Nuisance","08","08",41
"Fight No Weapon","13","08",239
"Traf Violation Cite","23","08",101
"Fraud","17","08",88
"Traf Violation Cite","22","08",148
"Fraud","22","08",12
"Traf Violation Tow","12","08",86
"Fight No Weapon","22","08",220
"Burglary","16","08",56
"Suspicious Vehicle","16","08",283
"Well Being Check","11","08",250
"Threats / Harassment","11","08",90
"Threats / Harassment","21","08",75
"Stolen Vehicle","11","08",104
"Suspicious Vehicle","21","08",217
"Mentally Disturbed","16","08",181
"Suspicious Vehicle","15","08",263
"Drugs","10","08",86
"Vandalism","10","08",72
"Traf Violation Tow","10","08",93
"Threats / Harassment","20","08",80
"Well Being Check","13","08",255
"Noise Nuisance","07","08",47
"Well Being Check","07","08",149
"Veh Accident","17","08",96
"Traf Violation Cite","20","08",223
"Trespasser","06","08",222
"Traf Violation Cite","03","08",57
"Suspicious Vehicle","03","08",126
"Assault / Battery","02","08",99
"Suspicious Person","01","08",264
"Traf Violation Tow","14","08",67
"Mentally Disturbed","09","08",178
"Threats / Harassment","09","08",70
"Drugs","00","08",26
"Threats / Harassment","08","08",53
"Auto Boost / Strip","08","08",83
"Stolen Vehicle","06","08",47
"Well Being Check","05","08",91
"Stolen Vehicle","05","08",14
"Petty Theft","22","08",61
"Traf Violation Tow","03","08",20
"Stolen Vehicle","04","08",14
"Traf Violation Cite","01","08",62
"Auto Boost / Strip","04","08",37
"Threats / Harassment","07","08",33
"Drugs","05","08",13
"Stolen Vehicle","00","08",34
"Auto Boost / Strip","22","07",266
"Traffic Stop","22","07",1094
"Vandalism","22","07",76
"Petty Theft","21","07",88
"Drugs","19","07",122
"Vandalism","19","07",82
"Petty Theft","20","07",139
"Trespasser","23","07",202
"Vandalism","23","07",64
"Drugs","23","07",42
"Trespasser","22","07",215
"Fight No Weapon","22","07",246
"Traf Violation Cite","18","07",225
"Fight No Weapon","18","07",253
"Mentally Disturbed","18","07",164
"Fraud","16","07",82
"Well Being Check","13","07",230
"Traffic Stop","07","07",698
"Assault / Battery","16","07",151
"Petty Theft","17","07",184
"Trespasser","00","07",176
"Auto Boost / Strip","15","07",231
"Suspicious Person","15","07",603
"Assault / Battery","10","07",120
"Homeless Complaint","12","07",487
"Suspicious Vehicle","06","07",70
"Homeless Complaint","06","07",736
"Traf Violation Cite","06","07",75
"Mentally Disturbed","15","07",161
"Auto Boost / Strip","06","07",65
"Stolen Vehicle","15","07",81
"Traf Violation Cite","09","07",256
"Traffic Stop","09","07",934
"Vandalism","05","07",27
"Threats / Harassment","14","07",84
"Traffic Stop","14","07",1026
"Audible Alarm","04","07",216
"Fight No Weapon","14","07",213
"Assault / Battery","03","07",52
"Well Being Check","02","07",161
"Fight No Weapon","02","07",182
"Traf Violation Cite","01","07",82
"Suspicious Person","01","07",282
"Traf Violation Cite","00","07",114
"Noise Nuisance","13","07",52
"Petty Theft","14","07",182
"Fraud","12","07",103
"Traf Violation Tow","13","07",87
"Assault / Battery","11","07",134
"Traf Violation Tow","14","07",63
"Burglary","08","07",109
"Mentally Disturbed","07","07",117
"Petty Theft","18","07",145
"Veh Accident","09","07",55
"Well Being Check","04","07",87
"Stolen Vehicle","03","07",16
"Noise Nuisance","09","07",59
"Stolen Vehicle","01","07",36
"Homeless Complaint","00","07",133
"Veh Accident","23","07",26
"Homeless Complaint","20","06",221
"Trespasser","20","06",191
"Suspicious Vehicle","13","06",186
"Well Being Check","23","06",210
"Suspicious Vehicle","20","06",228
"Noise Nuisance","20","06",146
"Noise Nuisance","19","06",103
"Suspicious Person","19","06",473
"Fight No Weapon","17","06",224
"Vandalism","19","06",88
"Mentally Disturbed","19","06",162
"Burglary","12","06",77
"Drugs","18","06",120
"Traf Violation Cite","18","06",243
"Traffic Stop","18","06",1211
"Well Being Check","18","06",278
"Burglary","18","06",84
"Fight No Weapon","16","06",206
"Audible Alarm","11","06",239
"Auto Boost / Strip","11","06",208
"Fraud","16","06",83
"Fraud","17","06",71
"Traffic Stop","15","06",1129
"Well Being Check","22","06",248
"Stolen Vehicle","14","06",74
"Well Being Check","21","06",265
"Auto Boost / Strip","21","06",214
"Stolen Vehicle","21","06",51
"Traf Violation Tow","08","06",69
"Traffic Stop","07","06",776
"Suspicious Person","07","06",319
"Auto Boost / Strip","09","06",126
"Mentally Disturbed","21","06",135
"Burglary","16","06",76
"Fraud","10","06",64
"Audible Alarm","07","06",334
"Vandalism","08","06",59
"Mentally Disturbed","00","06",49
"Fight No Weapon","08","06",135
"Suspicious Person","01","06",239
"Threats / Harassment","11","06",83
"Noise Nuisance","11","06",43
"Trespasser","08","06",224
"Traf Violation Tow","10","06",68
"Noise Nuisance","09","06",53
"Veh Accident","02","06",12
"Auto Boost / Strip","07","06",57
"Stolen Vehicle","00","06",39
"Petty Theft","23","06",51
"Vandalism","06","06",35
"Assault / Battery","06","06",36
"Petty Theft","04","06",17
"Traf Violation Tow","04","06",13
"Fight No Weapon","11","05",220
"Traffic Stop","22","05",1539
"Trespasser","22","05",188
"Homeless Complaint","21","05",296
"Auto Boost / Strip","19","05",189
"Audible Alarm","18","05",286
"Suspicious Person","16","05",798
"Petty Theft","16","05",174
"Homeless Complaint","16","05",421
"Suspicious Vehicle","09","05",163
"Audible Alarm","21","05",262
"Burglary","18","05",69
"Stolen Vehicle","16","05",65
"Traf Violation Tow","15","05",46
"Veh Accident","20","05",42
"Trespasser","15","05",202
"Audible Alarm","20","05",247
"Noise Nuisance","20","05",166
"Noise Nuisance","17","05",83
"Mentally Disturbed","17","05",180
"Suspicious Person","10","05",519
"Traffic Stop","14","05",1228
"Suspicious Person","14","05",718
"Audible Alarm","14","05",222
"Homeless Complaint","19","05",396
"Audible Alarm","16","05",256
"Noise Nuisance","14","05",54
"Suspicious Vehicle","10","05",148
"Audible Alarm","13","05",216
"Fight No Weapon","13","05",225
"Threats / Harassment","13","05",86
"Mentally Disturbed","13","05",140
"Suspicious Person","12","05",781
"Traffic Stop","12","05",1219
"Suspicious Person","23","05",482
"Vandalism","18","05",99
"Fraud","14","05",92
"Fraud","22","05",14
"Auto Boost / Strip","14","05",199
"Suspicious Vehicle","02","05",154
"Fraud","18","05",60
"Mentally Disturbed","08","05",118
"Traf Violation Tow","22","05",58
"Suspicious Person","07","05",373
"Fight No Weapon","01","05",228
"Burglary","07","05",87
"Homeless Complaint","07","05",1097
"Traffic Stop","00","05",867
"Suspicious Person","00","05",427
"Mentally Disturbed","21","05",104
"Vandalism","06","05",26
"Homeless Complaint","17","05",471
"Threats / Harassment","07","05",46
"Suspicious Vehicle","06","05",67
"Suspicious Person","05","05",113
"Auto Boost / Strip","05","05",42
"Petty Theft","05","05",29
"Vandalism","10","05",56
"Auto Boost / Strip","08","05",103
"Vandalism","00","05",56
"Vandalism","04","05",29
"Petty Theft","04","05",27
"Stolen Vehicle","04","05",12
"Mentally Disturbed","01","05",53
"Petty Theft","03","05",37
"Veh Accident","00","05",23
"Traf Violation Tow","03","05",13
"Homeless Complaint","03","05",96
"Petty Theft","17","04",154
"Trespasser","17","04",175
"Fraud","16","04",86
"Homeless Complaint","15","04",483
"Drugs","15","04",64
"Noise Nuisance","20","04",169
"Traf Violation Cite","20","04",58
"Traf Violation Tow","16","04",61
"Audible Alarm","16","04",209
"Assault / Battery","07","04",41
"Threats / Harassment","20","04",73
"Auto Boost / Strip","20","04",165
"Mentally Disturbed","12","04",185
"Traffic Stop","19","04",962
"Mentally Disturbed","19","04",126
"Burglary","13","04",69
"Traffic Stop","18","04",1506
"Vandalism","13","04",70
"Petty Theft","13","04",195
"Mentally Disturbed","18","04",155
"Threats / Harassment","12","04",90
"Noise Nuisance","10","04",46
"Homeless Complaint","16","04",471
"Stolen Vehicle","10","04",108
"Auto Boost / Strip","16","04",172
"Fraud","17","04",73
"Traf Violation Tow","09","04",83
"Audible Alarm","08","04",342
"Well Being Check","08","04",211
"Well Being Check","22","04",236
"Audible Alarm","15","04",224
"Homeless Complaint","02","04",118
"Petty Theft","01","04",40
"Noise Nuisance","03","04",213
"Trespasser","02","04",133
"Traf Violation Cite","15","04",67
"Traf Violation Tow","01","04",33
"Auto Boost / Strip","01","04",73
"Assault / Battery","15","04",143
"Traf Violation Cite","01","04",62
"Petty Theft","09","04",116
"Fight No Weapon","09","04",177
"Stolen Vehicle","09","04",96
"Drugs","12","04",87
"Burglary","00","04",38
"Petty Theft","07","04",46
"Petty Theft","00","04",42
"Stolen Vehicle","06","04",30
"Suspicious Vehicle","21","04",230
"Burglary","04","04",33
"Stolen Vehicle","03","04",16
"Burglary","02","04",36
"Stolen Vehicle","21","04",50
"Stolen Vehicle","07","04",63
"Burglary","12","04",79
"Vandalism","11","04",71
"Veh Accident","12","04",66
"Drugs","02","04",17
"Auto Boost / Strip","04","04",40
"Stolen Vehicle","04","04",11
"Threats / Harassment","05","04",13
"Auto Boost / Strip","21","03",134
"Fight No Weapon","21","03",150
"Traffic Stop","21","03",448
"Mentally Disturbed","14","03",101
"Drugs","21","03",32
"Audible Alarm","20","03",193
"Traffic Stop","18","03",1083
"Petty Theft","17","03",121
"Suspicious Vehicle","13","03",168
"Auto Boost / Strip","13","03",147
"Suspicious Vehicle","19","03",209
"Petty Theft","19","03",91
"Threats / Harassment","12","03",67
"Burglary","19","03",46
"Petty Theft","18","03",109
"Threats / Harassment","16","03",67
"Fraud","16","03",64
"Homeless Complaint","23","03",139
"Drugs","23","03",26
"Well Being Check","15","03",191
"Mentally Disturbed","23","03",41
"Assault / Battery","22","03",112
"Suspicious Person","22","03",262
"Trespasser","12","03",108
"Traffic Stop","01","03",285
"Audible Alarm","00","03",179
"Noise Nuisance","10","03",38
"Assault / Battery","01","03",68
"Suspicious Person","01","03",181
"Fight No Weapon","11","03",121
"Traf Violation Tow","10","03",39
"Auto Boost / Strip","09","03",93
"Trespasser","08","03",158
"Traffic Stop","11","03",798
"Assault / Battery","08","03",53
"Drugs","17","03",81
"Well Being Check","11","03",167
"Well Being Check","07","03",99
"Suspicious Vehicle","07","03",105
"Petty Theft","22","03",36
"Trespasser","06","03",142
"Stolen Vehicle","05","03",16
"Stolen Vehicle","11","03",64
"Traf Violation Cite","03","03",19
"Suspicious Person","03","03",118
"Audible Alarm","02","03",145
"Fraud","15","03",68
"Veh Accident","02","03",13
"Fight No Weapon","01","03",132
"Drugs","10","03",47
"Threats / Harassment","21","03",49
"Assault / Battery","07","03",40
"Petty Theft","05","03",17
"Assault / Battery","05","03",20
"Traf Violation Cite","04","03",14
"Assault / Battery","02","03",45
"Drugs","02","03",13
"Veh Accident","23","03",14
"Traf Violation Tow","19","03",15
"Vandalism","02","03",16
"Noise Nuisance","07","03",29
"Threats / Harassment","02","03",24
"Burglary","23","02",22
"Traffic Stop","23","02",732
"Trespasser","11","02",117
"Traffic Stop","07","02",412
"Threats / Harassment","00","02",24
"Auto Boost / Strip","00","02",70
"Auto Boost / Strip","23","02",120
"Traffic Stop","03","02",114
"Audible Alarm","03","02",136
"Drugs","20","02",38
"Audible Alarm","20","02",172
"Homeless Complaint","19","02",227
"Homeless Complaint","06","02",422
"Veh Accident","15","02",43
"Stolen Vehicle","10","02",56
"Suspicious Vehicle","10","02",99
"Assault / Battery","12","02",69
"Traf Violation Cite","12","02",45
"Homeless Complaint","12","02",413
"Suspicious Person","14","02",443
"Stolen Vehicle","14","02",59
"Audible Alarm","12","02",185
"Homeless Complaint","22","02",167
"Drugs","18","02",30
"Petty Theft","14","02",111
"Audible Alarm","18","02",170
"Stolen Vehicle","18","02",38
"Fight No Weapon","11","02",100
"Suspicious Vehicle","22","02",195
"Threats / Harassment","21","02",44
"Mentally Disturbed","18","02",96
"Traffic Stop","21","02",440
"Homeless Complaint","13","02",327
"Audible Alarm","13","02",149
"Audible Alarm","09","02",193
"Burglary","09","02",68
"Mentally Disturbed","17","02",109
"Mentally Disturbed","13","02",96
"Well Being Check","13","02",166
"Noise Nuisance","01","02",183
"Trespasser","17","02",121
"Burglary","22","02",30
"Mentally Disturbed","05","02",24
"Suspicious Vehicle","05","02",40
"Threats / Harassment","05","02",16
"Threats / Harassment","12","02",53
"Noise Nuisance","05","02",38
"Petty Theft","16","02",122
"Drugs","22","02",25
"Drugs","21","02",22
"Petty Theft","03","02",17
"Veh Accident","16","02",43
"Drugs","16","02",52
"Burglary","05","02",28
"Petty Theft","20","02",45
"Veh Accident","20","02",22
"Mentally Disturbed","04","02",26
"Auto Boost / Strip","02","02",31
"Traf Violation Tow","14","02",18
"Stolen Vehicle","00","02",20
"Veh Accident","12","02",51
"Vandalism","23","02",28
"Auto Boost / Strip","04","02",28
"Traf Violation Cite","02","02",21
"Vandalism","02","02",18
"Auto Boost / Strip","01","02",52
"Traf Violation Cite","15","02",17
"Fraud","20","02",16
"Traf Violation Tow","18","02",19
"Threats / Harassment","04","02",11
"Burglary","02","02",16
"Veh Accident","07","02",14
"Stolen Vehicle","03","02",11
"Homeless Complaint","11","01",428
"Well Being Check","11","01",149
"Fraud","11","01",44
"Traffic Stop","19","01",689
"Threats / Harassment","19","01",53
"Stolen Vehicle","19","01",48
"Assault / Battery","19","01",85
"Suspicious Vehicle","19","01",147
"Homeless Complaint","18","01",231
"Assault / Battery","17","01",95
"Audible Alarm","09","01",250
"Assault / Battery","09","01",58
"Auto Boost / Strip","20","01",143
"Audible Alarm","20","01",167
"Burglary","19","01",29
"Noise Nuisance","19","01",75
"Mentally Disturbed","15","01",90
"Homeless Complaint","03","01",89
"Trespasser","18","01",141
"Fight No Weapon","16","01",152
"Suspicious Person","16","01",476
"Traf Violation Cite","09","01",48
"Vandalism","02","01",33
"Trespasser","14","01",122
"Burglary","14","01",56
"Homeless Complaint","08","01",734
"Mentally Disturbed","08","01",87
"Well Being Check","10","01",145
"Noise Nuisance","09","01",26
"Stolen Vehicle","13","01",64
"Fraud","19","01",30
"Petty Theft","16","01",102
"Fight No Weapon","13","01",129
"Suspicious Person","07","01",210
"Suspicious Vehicle","23","01",230
"Traffic Stop","12","01",878
"Well Being Check","12","01",146
"Mentally Disturbed","12","01",107
"Assault / Battery","08","01",55
"Threats / Harassment","23","01",27
"Drugs","23","01",20
"Fight No Weapon","17","01",159
"Homeless Complaint","22","01",162
"Well Being Check","21","01",173
"Noise Nuisance","07","01",16
"Suspicious Person","21","01",234
"Traf Violation Cite","07","01",32
"Burglary","06","01",34
"Burglary","20","01",34
"Threats / Harassment","10","01",41
"Auto Boost / Strip","06","01",31
"Well Being Check","05","01",74
"Stolen Vehicle","23","01",19
"Drugs","20","01",35
"Drugs","09","01",32
"Drugs","08","01",22
"Audible Alarm","02","01",165
"Threats / Harassment","03","01",12
"Petty Theft","06","01",17
"Traf Violation Cite","17","01",18
"Well Being Check","21","12",250
"Audible Alarm","19","12",274
"Suspicious Vehicle","19","12",276
"Assault / Battery","19","12",126
"Stolen Vehicle","14","12",85
"Suspicious Vehicle","21","12",202
"Well Being Check","08","12",198
"Traf Violation Cite","20","12",212
"Vandalism","18","12",70
"Burglary","13","12",85
"Drugs","13","12",100
"Veh Accident","13","12",72
"Suspicious Vehicle","07","12",114
"Traf Violation Cite","13","12",248
"Assault / Battery","18","12",123
"Traf Violation Cite","12","12",277
"Suspicious Vehicle","06","12",66
"Homeless Complaint","06","12",595
"Traf Violation Tow","19","12",99
"Fight No Weapon","17","12",236
"Noise Nuisance","04","12",135
"Noise Nuisance","22","12",384
"Traffic Stop","11","12",855
"Threats / Harassment","03","12",25
"Suspicious Vehicle","03","12",123
"Suspicious Vehicle","02","12",163
"Traf Violation Cite","22","12",145
"Traf Violation Cite","16","12",238
"Fight No Weapon","02","12",191
"Trespasser","02","12",117
"Petty Theft","16","12",166
"Well Being Check","01","12",166
"Mentally Disturbed","01","12",51
"Trespasser","16","12",204
"Fraud","10","12",66
"Noise Nuisance","00","12",382
"Auto Boost / Strip","15","12",221
"Assault / Battery","15","12",154
"Well Being Check","15","12",289
"Auto Boost / Strip","10","12",154
"Stolen Vehicle","09","12",94
"Petty Theft","23","12",56
"Homeless Complaint","15","12",370
"Stolen Vehicle","16","12",101
"Assault / Battery","14","12",152
"Noise Nuisance","07","12",28
"Mentally Disturbed","13","12",152
"Well Being Check","18","12",280
"Drugs","16","12",87
"Homeless Complaint","17","12",311
"Traf Violation Cite","01","12",101
"Burglary","14","12",82
"Threats / Harassment","14","12",79
"Vandalism","05","12",31
"Traf Violation Tow","06","12",26
"Drugs","00","12",24
"Auto Boost / Strip","06","12",41
"Veh Accident","06","12",15
"Assault / Battery","03","12",49
"Veh Accident","00","12",24
"Veh Accident","04","12",12
"Stolen Vehicle","04","12",17
"Homeless Complaint","03","12",65
"Veh Accident","02","12",13
"Audible Alarm","22","11",217
"Auto Boost / Strip","17","11",185
"Mentally Disturbed","20","11",112
"Threats / Harassment","20","11",66
"Traf Violation Tow","20","11",66
"Audible Alarm","19","11",257
"Well Being Check","19","11",260
"Fight No Weapon","19","11",226
"Noise Nuisance","19","11",142
"Well Being Check","18","11",260
"Auto Boost / Strip","18","11",161
"Assault / Battery","18","11",117
"Mentally Disturbed","18","11",140
"Traf Violation Cite","23","11",74
"Stolen Vehicle","23","11",48
"Auto Boost / Strip","09","11",108
"Suspicious Person","09","11",482
"Trespasser","09","11",231
"Well Being Check","14","11",262
"Traf Violation Tow","14","11",65
"Auto Boost / Strip","08","11",92
"Mentally Disturbed","08","11",125
"Audible Alarm","08","11",330
"Burglary","22","11",41
"Drugs","22","11",54
"Homeless Complaint","16","11",419
"Fight No Weapon","12","11",212
"Suspicious Person","07","11",355
"Trespasser","21","11",189
"Assault / Battery","06","11",36
"Homeless Complaint","11","11",531
"Suspicious Vehicle","11","11",192
"Threats / Harassment","11","11",77
"Suspicious Person","11","11",601
"Auto Boost / Strip","05","11",45
"Well Being Check","15","11",245
"Noise Nuisance","15","11",81
"Audible Alarm","15","11",206
"Burglary","15","11",64
"Petty Theft","10","11",162
"Audible Alarm","03","11",228
"Burglary","02","11",37
"Audible Alarm","10","11",273
"Audible Alarm","01","11",237
"Well Being Check","10","11",219
"Well Being Check","01","11",157
"Assault / Battery","09","11",90
"Stolen Vehicle","15","11",65
"Traf Violation Tow","15","11",59
"Suspicious Person","05","11",124
"Fraud","19","11",31
"Vandalism","10","11",75
"Homeless Complaint","01","11",94
"Auto Boost / Strip","00","11",124
"Petty Theft","22","11",58
"Fraud","22","11",12
"Vandalism","07","11",41
"Burglary","11","11",98
"Stolen Vehicle","10","11",92
"Auto Boost / Strip","03","11",51
"Drugs","14","11",89
"Suspicious Person","03","11",177
"Auto Boost / Strip","06","11",36
"Homeless Complaint","23","11",159
"Stolen Vehicle","00","11",26
"Audible Alarm","20","10",274
"Suspicious Person","19","10",567
"Fight No Weapon","19","10",229
"Suspicious Vehicle","23","10",349
"Audible Alarm","22","10",241
"Mentally Disturbed","22","10",115
"Noise Nuisance","22","10",577
"Assault / Battery","21","10",144
"Well Being Check","20","10",292
"Assault / Battery","20","10",137
"Fight No Weapon","20","10",246
"Trespasser","07","10",238
"Stolen Vehicle","21","10",66
"Well Being Check","16","10",281
"Homeless Complaint","11","10",604
"Suspicious Person","15","10",775
"Auto Boost / Strip","11","10",193
"Petty Theft","11","10",159
"Homeless Complaint","06","10",688
"Petty Theft","15","10",219
"Fight No Weapon","10","10",209
"Suspicious Vehicle","18","10",262
